id_maquina	tipo	horas_prog	propiedad	fecha_ingreso	fecha_retiro	notas	frente
NH421	MINICARGADOR	5	alquilada	2026-01-01	2026-08-20	DINISSAN. Trabajó hasta el 18-ago. Devuelto (D136)	UF1-UF2
CR026	MINIBULDOZER	6.4	propia	2026-01-01		ORTIZ (POCR026)	UF1-UF2
RT-02	RETROEXCAVADORA	5	alquilada	2026-07-01		MAQUISABANA, la pajarita (D111)	UF1-UF2
VOL012	VOLQUETA		propia	2026-03-25		ORTIZ (NNL602)	UF1-UF2
VOL044	VOLQUETA		propia	2026-01-01		ORTIZ (NNM196)	UF1-UF2
VOL048	VOLQUETA		propia	2026-01-01		ORTIZ (NNM180)	UF1-UF2
VOL056	VOLQUETA		propia	2026-01-01		ORTIZ (NNM210). 29 y 31-ago y 2-sep sin operador	UF1-UF2
VOL065	VOLQUETA		propia	2026-01-01		ORTIZ (NNM208)	UF1-UF2
VOL067	VOLQUETA		propia	2026-01-01		ORTIZ (NNM202)	UF1-UF2
VOL010	VOLQUETA		propia	2026-01-01	2026-09-07	ORTIZ (NNL600). Entregada a taller el 5-sep (último parte 6-sep)	UF1-UF2
VOL031	VOLQUETA		propia	2026-01-01	2026-08-31	ORTIZ (NNM214). Entregada a taller el 29-ago (último parte 30-ago)	UF1-UF2
VOL039	VOLQUETA		propia	2026-03-25	2026-09-07	ORTIZ (NNM195). Sin parte desde el 7-sep, sin nota en el Excel: CONFIRMAR	UF1-UF2
VOL047	VOLQUETA		propia	2026-01-01	2026-09-07	ORTIZ (NNM187). Entregada a taller el 5-sep (último parte 6-sep)	UF1-UF2
VOL054	VOLQUETA		propia	2026-01-01	2026-09-07	ORTIZ (NNM203). Entregada a taller el 5-sep (último parte 6-sep)	UF1-UF2
TC095	TRACTOCAMION		propia	2026-01-01		ORTIZ (NNK996), camabaja propia	UF1-UF2
TC065	TRACTOCAMION		propia	2026-08-18	2026-09-07	ORTIZ (NNL565). Desde el lunes 7-sep arrancó para TM1	UF1-UF2
TC092	TRACTOCAMION		propia	2026-08-18	2026-09-07	ORTIZ (LKM448). Desde el lunes 7-sep arrancó para TM1	UF1-UF2
LPM670	CAMABAJA		alquilada	2026-08-06	2026-09-06	ASOTRASAT, camabaja alquilada del mes. Terminó el 5-sep	UF1-UF2
SJQ401	CAMABAJA		alquilada	2026-09-07		ASOVOLSAT, camabaja alquilada del mes. Empezó el 7-sep	UF1-UF2
XVX241	CARROTANQUE		alquilada	2026-01-23	2026-08-22	TRANSVISA. Terminó el 21-ago	UF1-UF2
XMC714	CARROTANQUE		alquilada	2026-08-22		TRANSVISA. Trabajó sáb y lun y después se dieron cuenta de que estaba sin contrato	UF1-UF2
CT012	CARROTANQUE		propia	2026-01-01		ORTIZ (NNM034), carrotanque propio (en el Excel figura como CAMIONES)	UF1-UF2
LPM206	TURBO		alquilada	2026-06-17		COTRASABANA, turbo de estacas / camión cisterna (responsable Oscar)	UF1-UF2
CG007	CAMION		propia	2026-01-05		ORTIZ (NNN624), camión (responsable Oscar)	UF1-UF2
CG005	CAMION		propia	2026-08-24	2026-08-27	ORTIZ. Solo 24 a 26-ago	UF1-UF2
TI12	LUMINARIA		propia	2026-01-01		ORTIZ (POTI012). Sin parte desde el 1-sep, sin nota de retiro: CONFIRMAR	UF1-UF2
